example_id,tweet_id,conversation_id,customer_text,previous_context,intent,difficulty,needs_context,annotation_notes
GOLD_095,2856688,2856688,NO MATTER HOW MANY TIMES I CHANGE MY ADDRESS ON MY AMAZON ACCOUNT IT STILL SENDS MY PACKAGES TO MY SCHOOL ADDRESS SOME STRANGER HAS MY PACKAGE THAT I PAID FOR AND KNOWING MY LUCK THEY'RE GONNA BE A DICK AND NOT GIVE IT BACK I HATE EVERYTHING.,,ORDER_MODIFICATION,medium,True,
GOLD_096,190118,190118,i.. think i may have received doubles of the druid spellcards? i got them in the mail on fri but amazon says it's currently out for delivery,,DELIVERY_SHIPPING,easy,False,
GOLD_097,2290892,2290890,@AmazonHelp 10th November,@665418 Hey Sally. What was the initial delivery date provided when you first placed the order? ^TP,DELIVERY_SHIPPING,medium,True,
GOLD_098,2460000,2459995,@AmazonHelp After that I called you guys up and they said oh by 9pm it should be there . Some guarantee you guys have when this happens on a consistent basis.,"@649133 Were you emailed with a reason for the delay? If so, what did it say. Keep us updated! - Conor",OTHER,hard,False,
GOLD_099,232388,232386,@115850 @122869 Yes reported but refund still not received and its more than 15 days,"@115850 refund reference number is : IGACBEPJL7, refund not yet received, kindly expedite @122869",REFUND_RETURN,easy,False,
GOLD_100,2318459,2318459,I ❤️ @115821 but they make it SO difficult to report a Lost/missing package. If their goal is to get u to give up then mission accomplished,,DAMAGED_MISSING_ITEM,medium,False,
GOLD_101,197943,197995,@AmazonHelp @115851 Submitted the issued through social media form. Please initiate refund. Contacted customer care but of no use.,"@162537 Prakash, please revert to the email you've received from us for further assistance. Appreciate your patience. ^MS",REFUND_RETURN,easy,False,
GOLD_102,974800,974800,"@115850 @115851 
Order ID : 407-3954265-1967543
7th time my order got cancelled within a period of 30 days.",,OTHER,hard,False,
GOLD_103,346275,346275,@115821  @115850 :https://t.co/KMB6VRl4MY &amp; Amazon.in strtd blaming each othr for deducting money for prime membership which I never used https://t.co/nS8sKpyJc5,,PRIME_SUBSCRIPTION,easy,False,
GOLD_104,793922,793922,"@115821 I think my request is ignored. We've been prime members for at least 5 yrs, but feel let down in this situation. Plz make it right https://t.co/n7ZUoqpTP5",,PRIME_SUBSCRIPTION,easy,False,
GOLD_105,294857,294857,"Just gonna have fun calling @115830 a bunch of useless cunts until I get my parcel or refund 

#boycottamazon
#boycottamazonprime",,REFUND_RETURN,easy,False,
GOLD_106,643821,643818,@115850 Worst service crapazon @115850 @AmazonHelp @115821,"#KaroMilkeTayyari apne favourite brands pe badi deals paane ki. #AmazonGreatIndianFestival, 14th to 17th October. https://t.co/bDhBWb2Pho https://t.co/iOcFmTcqVU",CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_107,2553849,2553849,@115850 should start cab business like Uber and Ola in India. I am sure they will give the best customer service like they give to the online shoppers. @115851 think about it. @115821,,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_108,1651203,1651208,@AmazonHelp They misbehaved and asked to go Police and launch a complaint,@504283 Please let us know more here. We will assist you with it accordingly. ^RW,OTHER,hard,False,
GOLD_109,1466009,1466010,@AmazonHelp ok thanks,"@460273 I get your concern, Prasanna. We send a limited number of invitations each week to customers, so keep an eye on your inbox.^NK",OTHER,hard,True,
GOLD_110,1544157,1544157,"@115821 one issue 28 days multiple escalations yet no results this is the way Amazon cutomer support works
#totally #disgusting ☹️",,CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_111,1015582,1015583,@AmazonHelp Thank you for your help. Guessing I am still able to return item even though I have open the box seen as item is damaged?,@360292 I'm sorry your order arrived damaged! We'd like to look into available options with you here: https://t.co/JzP7hlA23B ^VS,DAMAGED_MISSING_ITEM,easy,False,
GOLD_112,946527,946520,@AmazonHelp Until Wednesday to sort it out. But this happened again with a game I pre-ordered a couple of weeks back which didn’t arrive at all which...,@AmazonHelp Basically I pre-ordered the new Assassins Creed for Xbox then it didn’t arrive on the day it was meant to i.e Friday. So I have to wait..,DELIVERY_SHIPPING,easy,False,
GOLD_113,788653,788653,"Amazon Prime, they say Guaranteed Two Day Delivery and they charge you more for this and then say sorry delivery delayed.. #india
@119356",,DELIVERY_SHIPPING,easy,False,
GOLD_114,1786171,1786150,@116875 Ji,Conoce las ofertas de Cyber Monday en Amazon. https://t.co/mI2dQ6xfl6,OTHER,hard,True,
GOLD_115,2758950,2758941,@AmazonHelp Done,"@772020 Oh wow! Since I'm unable to access your account via social media, do you mind providing me your contact details here: https://t.co/MElrYPFinx, so I can research further? ^SY",ACCOUNT_LOGIN,medium,True,
GOLD_116,145808,145808,@AmazonHelp been trying to cancel my amazon order which I ordered but has hasn’t even been dispatched. Your agent spent 10 minutes faffing on the phone only to say she can’t cancel it today as the windows gone but can cancel it on the sunday LOL. Please cancel my order,,ORDER_MODIFICATION,easy,False,
GOLD_117,962039,962040,"@AmazonHelp やってみます！
ありがとうございます！",@348286 アマゾンです。お届け予定日を経過しても未着の場合、発送元がアマゾン→https://t.co/NtNAX37Sr4、出品者→https://t.co/y3z1BdZcxG それぞれの方法でお問い合わせください。ET,OTHER,hard,True,
GOLD_118,1828696,1828696,バイスを春に買ったせいでAmazonから定期的に工具を勧められるのなんとかならない？,,OTHER,hard,True,
GOLD_119,2875647,2875648,@AmazonHelp Okay Thank you. Anyways is their any update on No Cost EMI offer on Oneplus 5T?,@265721 The message you received wasn't from Amazon.in. Kindly refer to Amazon.in website and app only for genuine offers. ^PS,OTHER,hard,False,
GOLD_120,2405118,2405129,"@AmazonHelp Yes, but it was ignored. The date was yesterday, Monday. I had to call @115817 and be subjected to a mini torture session. How about you not use them for deliveries. I am so stressed out.","@542741 I'm so sorry for the poor experience, Amanda! Sometimes unforeseen circumstances may occur. Does the new delivery date reflect here: https://t.co/Y5jpI9gRhE? ^JO",CUSTOMER_SERVICE_COMPLAINT,medium,False,
GOLD_121,549331,549331,@115821 is amazing. They sent me a product that had broken at some point before or during delivery and gave me a full refund without having to send it back.,,DAMAGED_MISSING_ITEM,easy,False,
GOLD_122,2919874,2919864,@AmazonHelp Says “Shipped with Amzl US”,@808150 I'm sorry for the trouble! Can you tell me who the carrier assigned to your package is? ^LA,DELIVERY_SHIPPING,easy,False,
GOLD_123,270927,270917,@AmazonHelp It was shipped and sold by Amazon.,@180631 (2/2) replace specific parts. Please keep us posted on the outcome of your call tomorrow. ^MV,DELIVERY_SHIPPING,easy,False,
